Data / Hora,Satélite,País,Estado,Município,Bioma,N. Dias Sem Chuva,Precipitação,Risco Fogo,Latitude,Longitude,Área Industrial,FRP
2025-11-10T16:32:00.000Z,NPP-375,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlântica,,,,-22.01238,-41.01328,,2.1
Data / Hora,Satélite,País,Estado,Município,Bioma,N. Dias Sem Chuva,Precipitação,Risco Fogo,Latitude,Longitude,Área Industrial,FRP
